type_id	unit	importance	attempts	o_count	amb_count	wrong_count	blank_count	last3	status_code
T-01	-/-	★★★	0	0	0	0	0	---	unmeasured
T-02	-/-	★★★	0	0	0	0	0	---	unmeasured
T-03	-/-	★★★	0	0	0	0	0	---	unmeasured
T-04	-/-	★★★	0	0	0	0	0	---	unmeasured
T-05	-/-	★★★	0	0	0	0	0	---	unmeasured
T-06	-/-	★★★	0	0	0	0	0	---	unmeasured
T-07	-/-	★★★	0	0	0	0	0	---	unmeasured
T-08	-/-	★★★	0	0	0	0	0	---	unmeasured
T-09	-/-	★★	0	0	0	0	0	---	unmeasured
T-10	-/-	★★★	0	0	0	0	0	---	unmeasured
T-11	-/-	★★	0	0	0	0	0	---	unmeasured
T-12	-/-	★★	0	0	0	0	0	---	unmeasured
W-01	-/-	★★★	0	0	0	0	0	---	unmeasured
W-02	-/-	★★★	0	0	0	0	0	---	unmeasured
W-03	-/-	★★	0	0	0	0	0	---	unmeasured
W-04	-/-	★	0	0	0	0	0	---	unmeasured
F-01	-/-	★★★	0	0	0	0	0	---	unmeasured
F-02	-/-	★★★	0	0	0	0	0	---	unmeasured
F-03	-/-	★★	0	0	0	0	0	---	unmeasured
F-04	-/-	★★★	0	0	0	0	0	---	unmeasured
F-05	-/-	★★	0	0	0	0	0	---	unmeasured
F-06	-/-	★★	0	0	0	0	0	---	unmeasured
F-07	-/-	★★★	0	0	0	0	0	---	unmeasured
F-08	-/-	★★★	0	0	0	0	0	---	unmeasured
K-01	-/-	★★★	0	0	0	0	0	---	unmeasured
K-02	-/-	★★★	0	0	0	0	0	---	unmeasured
K-03	-/-	★★★	0	0	0	0	0	---	unmeasured
K-04	-/-	★	0	0	0	0	0	---	unmeasured
K-05	-/-	★★★	0	0	0	0	0	---	unmeasured
K-06	-/-	★★★	0	0	0	0	0	---	unmeasured
K-07	-/-	★★★	0	0	0	0	0	---	unmeasured
K-08	-/-	★★	0	0	0	0	0	---	unmeasured
K-09	-/-	★★★	0	0	0	0	0	---	unmeasured
K-10	-/-	★★	0	0	0	0	0	---	unmeasured
K-11	-/-	★★	0	0	0	0	0	---	unmeasured
K-12	-/-	★★★	0	0	0	0	0	---	unmeasured
SM-01	-/-	★★★	0	0	0	0	0	---	unmeasured
SM-02	-/-	★★★	0	0	0	0	0	---	unmeasured
SM-03	-/-	★★★	0	0	0	0	0	---	unmeasured
SM-04	-/-	★★★	0	0	0	0	0	---	unmeasured
SM-05	-/-	★★★	0	0	0	0	0	---	unmeasured
SM-06	-/-	★★★	0	0	0	0	0	---	unmeasured
SM-07	-/-	★★★	0	0	0	0	0	---	unmeasured
SM-08	-/-	★★★	0	0	0	0	0	---	unmeasured
SM-09	-/-	★★★	0	0	0	0	0	---	unmeasured
SM-10	-/-	★★	0	0	0	0	0	---	unmeasured
SM-11	-/-	★★	0	0	0	0	0	---	unmeasured
SM-12	-/-	★★★	0	0	0	0	0	---	unmeasured
SM-13	-/-	★★★	0	0	0	0	0	---	unmeasured
SM-14	-/-	★★★	0	0	0	0	0	---	unmeasured
